malicious_package_name,benign_package_name,repeated_characters,omitted_characters,rearranged_characters,swapped_characters,swapped_words,detect_typos,highest_ratio_package,ratio,,ratio_correct,,ratio_accuracy
buffer-por,buffer-xor,n/a,buffer,n/a,n/a,buffer,n/a,buffer-xor,90,,TRUE,,
buffer-hor,buffer-xor,n/a,buffer,n/a,n/a,buffer,n/a,buffer-xor,90,,TRUE,,
buffer-8or,buffer-xor,n/a,buffer,n/a,n/a,buffer,n/a,buffer-xor,90,,TRUE,,
buffep-xor,buffer-xor,n/a,buffer,n/a,n/a,n/a,n/a,buffer-xor,90,,TRUE,,
buffeb-xor,buffer-xor,n/a,buffer,n/a,n/a,n/a,n/a,buffer-xor,90,,TRUE,,
buffe2-xor,buffer-xor,n/a,buffer,n/a,n/a,n/a,n/a,buffer-xor,90,,TRUE,,
buffdr-xor,buffer-xor,n/a,d,n/a,n/a,n/a,buffer-xor,buffer-xor,90,,TRUE,,
buffar-xor,buffer-xor,n/a,rx,n/a,n/a,n/a,n/a,buffer-xor,90,,TRUE,,
bufder-xor,buffer-xor,n/a,d,n/a,n/a,n/a,buffer-xor,buffer-xor,90,,TRUE,,
bufber-xor,buffer-xor,n/a,@babel/plugin-transform-member-expression-literals,n/a,n/a,n/a,n/a,buffer-xor,90,,TRUE,,
budfer-xor,buffer-xor,n/a,d,n/a,n/a,n/a,buffer-xor,buffer-xor,90,,TRUE,,
bubfer-xor,buffer-xor,n/a,rx,n/a,n/a,n/a,n/a,buffer-xor,90,,TRUE,,
btffer-xor,buffer-xor,n/a,rx,n/a,n/a,n/a,n/a,buffer-xor,90,,TRUE,,
bqffer-xor,buffer-xor,n/a,q,n/a,n/a,n/a,n/a,buffer-xor,90,,TRUE,,
beffer-xor,buffer-xor,n/a,rx,n/a,n/a,n/a,n/a,buffer-xor,90,,TRUE,,
b5ffer-xor,buffer-xor,n/a,rx,n/a,n/a,n/a,n/a,buffer-xor,90,,TRUE,,
uglyfi.js,uglify-js,n/a,is,n/a,n/a,n/a,n/a,uglify-js,78,,TRUE,,
ember_cli_babe,ember-cli-babel,n/a,rc,n/a,n/a,cli,n/a,ember-cli-babel,97,,TRUE,,
yeoman-genrator,yeoman-generator,n/a,ora,n/a,n/a,n/a,n/a,yeoman-generator,97,,TRUE,,
require-port,requires-port,n/a,ret,n/a,n/a,n/a,n/a,requires-port,96,,TRUE,,
log-symboles,log-symbols,n/a,ms,n/a,n/a,log,n/a,log-symbols,96,,TRUE,,
comander,commander,commander,commander,n/a,n/a,n/a,n/a,commander,94,,TRUE,,
sparkies,sparkles,n/a,is,n/a,n/a,n/a,sparkles,sparkles,88,,TRUE,,
serilize,serialize,n/a,dom-serializer,n/a,n/a,n/a,n/a,serializerr,84,,FALSE,,
serializes,serialize,n/a,serialize-javascript,n/a,n/a,n/a,n/a,serializerr,86,,FALSE,,
mysql-koa,koa-mysql,n/a,ms,n/a,n/a,mysql,n/a,mysql,71,,FALSE,,
mogoose,mongoose,n/a,ms,n/a,n/a,n/a,n/a,mongoose,93,,TRUE,,
mogodb-core,mongodb-core,n/a,co,n/a,n/a,n/a,n/a,mongodb-core,96,,TRUE,,
mogodb,mongodb,n/a,d,n/a,n/a,n/a,n/a,mongodb,92,,TRUE,,
mogobd,mongodb,n/a,d,n/a,n/a,n/a,n/a,mongodb,77,,TRUE,,
koa-body-parse,koa-body-parser,n/a,base,n/a,n/a,body,n/a,koa-bodyparser,93,,FALSE,,
k0a_multer,koa-multer,n/a,kuler,n/a,n/a,multer,n/a,multer,75,,FALSE,,
import-mysql,mysql-import,n/a,ms,n/a,n/a,mysql,n/a,import-lazy,70,,FALSE,,
body-parse-xml,body-parser-xml,n/a,psl,n/a,n/a,xml,n/a,body-parser,80,,FALSE,,
axioss,axios,axios,axios,n/a,n/a,n/a,n/a,axios,91,,TRUE,,
axios-http,axios,n/a,ip,n/a,n/a,axios,n/a,is-https,78,,FALSE,,
tiar,tar,n/a,process-nextick-args,n/a,n/a,n/a,n/a,tar,86,,TRUE,,
next-util,next-utils,n/a,util,n/a,n/a,util,n/a,@nuxt/utils,84,,FALSE,,
hpmm,hpm,n/a,@babel/helper-module-transforms,n/a,n/a,n/a,n/a,@hapi/ammo,62,,FALSE,,
diamond-clien,diamond-client,n/a,once,n/a,n/a,n/a,n/a,openid-client,69,,FALSE,,
cicada-render,@cicada/render,n/a,d,n/a,n/a,n/a,n/a,adal-node,64,,FALSE,,
electron-native-notify,electron-native-notification,n/a,nan,n/a,n/a,electron,n/a,react-native-sentry,68,,FALSE,,
epress,express,n/a,express,n/a,n/a,n/a,n/a,express,92,,TRUE,,
commqnder,commander,n/a,co,n/a,n/a,n/a,commander,commander,89,,TRUE,,
commmander,commander,commander,commander,n/a,n/a,n/a,n/a,commander,95,,TRUE,,
blubird,bluebird,n/a,bluebird,n/a,n/a,n/a,n/a,bluebird,93,,TRUE,,
yeoman-genrator,yeoman-generator,n/a,ora,n/a,n/a,n/a,n/a,yeoman-generator,97,,TRUE,,
uglyfi-js,uglify-js,n/a,is,uglify-js,n/a,n/a,n/a,uglify-js,78,,TRUE,,
require-ports,requires-port,n/a,qs,requires-port,n/a,ports,n/a,requires-port,92,,TRUE,,
logsymbles,log-symbols,n/a,ms,n/a,n/a,n/a,n/a,log-symbols,86,,TRUE,,
jquerz,jquery,n/a,q,n/a,n/a,n/a,n/a,jquery,83,,TRUE,,
jqeury,jquery,n/a,q,jquery,jquery,n/a,n/a,jquery,83,,TRUE,,
hulp,gulp,n/a,@babel/helper-module-imports,n/a,n/a,n/a,gulp,gulp,75,,TRUE,,
froever,forever,n/a,over,forever,forever,n/a,n/a,forever,86,,TRUE,,
colour-string,color-string,n/a,colors,n/a,n/a,colour,n/a,color-string,96,,TRUE,,
colro-name,color-name,n/a,clone,color-name,color-name,n/a,n/a,color-name,90,,TRUE,,
browserift,browserify,n/a,ws,n/a,n/a,n/a,browserify,browserify,90,,TRUE,,
