malicious_package_name,benign_package_name,detected,reason,,,,,
calk,chalk,yes,detected,,,,,
chak,chalk,yes,detected,,,,,
eact,react,yes,detected,,,,,
experss,express,yes,detected,,,,,
exprss,express,yes,detected,,,,,
commnader,commander,yes,detected,,,,,
momen,moment,yes,detected,,,,,
aysnc,async,yes,detected,,,,,
asnyc,async,yes,detected,,,,,
asycn,async,yes,detected,,,,,
asnc,async,yes,detected,,,,,
aasync,async,yes,detected,,,,,
asyync,async,yes,detected,,,,,
asynnc,async,yes,detected,,,,,
asymc,async,yes,detected,,,,,
asinc,async,yes,detected,,,,,
4equest,request,yes,detected,,,,,
commander-js,commander,no,added random chars,,,,,
foever,forever,yes,detected,,,,,
soket.js,socket.js,no,package not popular,,,,,
soket.io,socket.io,yes,detected,,,,,
regenrator,regenerator,yes,detected,,,,,
regenraotr,regenerator,no,multiple signals,,,,,
axois,axios,yes,detected,,,,,
nothing-js,nothing.js,no,package not popular,,,,,
getcookies,get-cookie,no,multiple signals,,,,,
lodahs,lodash,yes,detected,,,,,
web3-eht,web3-eth,yes,detected,,,,,
we3b,web3,yes,detected,,,,,
wbe3,web3,yes,detected,,,,,
wallet-address-validtaor,wallet-address-validator,yes,detected,,,,,
wallet-address-vaildator,wallet-address-validator,yes,detected,,,,,
singale,signale,yes,detected,,,,,
signqle,signale,yes,detected,,,,,
siganle,signale,yes,detected,,,,,
babel-laoder,babel-loader,yes,detected,,,,,
babel-loadre,babel-loader,yes,detected,,,,,
babel-loqder,babel-loader,yes,detected,,,,,
baes-x,base-x,yes,detected,,,,,
bconi,bcoin,no,package not popular,,,,,
bcion,bcoin,no,package not popular,,,,,
bictoin-ops,bitcoin-ops,yes,detected,,,,,
bictoind-rpc,bitcoind-rpc,no,package not popular,,,,,
bictoinjs-lib,bitcoinjs-lib,yes,detected,,,,,
bictore-lib,bitcore-lib,yes,detected,,,,,
bitcion-ops,bitcoin-ops,yes,detected,,,,,
bitcionjs,bitcoinjs,no,package not popular,,,,,
bitcionjslib,bitcoinjs-lib,no,multiple signals,,,,,
bitcoijns-lib,bitcoinjs-lib,yes,detected,,,,,
bitcoimd-rpc,bitcoind-rpc,no,package not popular,,,,,
bitcoimjs-lib,bitcoinjs-lib,yes,detected,,,,,
bitcoisnj-lib,bitcoinjs-lib,no,swapped 3 chars,,,,,
bitconi-ops,bitcoin-ops,yes,detected,,,,,
bitconid-rpc,bitcoind-rpc,no,package not popular,,,,,
bitconijs-lib,bitcoinjs-lib,yes,detected,,,,,
bitcroe-lib,bitcore-lib,yes,detected,,,,,
bs58chcek,bs58check,yes,detected,,,,,
bs58chek,bs58check,yes,detected,,,,,
bs58chekc,bs58check,yes,detected,,,,,
bs85,bs58,yes,detected,,,,,
bs85check,bs58check,yes,detected,,,,,
bsae-x,base-x,yes,detected,,,,,
cionstring,coinstring,yes,detected,,,,,
coinpayment,coinpayments,no,package not popular,,,,,
coinstirng,coinstring,yes,detected,,,,,
coinstrig,coinstring,yes,detected,,,,,
coinstrng,coinstring,yes,detected,,,,,
commandre,commander,yes,detected,,,,,
commanedr,commander,yes,detected,,,,,
conistring,coinstring,yes,detected,,,,,
crpyto-js,crypto-js,yes,detected,,,,,
crytpo-js,crypto-js,yes,detected,,,,,
cxt,ccxt,yes,detected,,,,,
degbu,debug,no,swapped 3 chars,,,,,
