package_name,weekly_downloads
ret,10204127
destroy,10198166
is-callable,10187271
vary,10170910
imurmurhash,10146628
through,10141883
@babel/highlight,10129896
@babel/helper-get-function-arity,10085438
validate-npm-package-license,10084208
@babel/helper-function-name,10078316
chardet,10070474
big.js,10063912
strip-eof,10053396
atob,10013026
typedarray,9958647
repeat-element,9957947
handlebars,9956271
del,9947180
diff,9939025
memory-fs,9917971
spdx-expression-parse,9916952
co,9908019
source-map-resolve,9890650
pascalcase,9770170
split-string,9764031
arr-flatten,9763635
cookie-signature,9743352
use,9722631
safe-regex,9719226
nanomatch,9707620
require-directory,9701883
os-homedir,9686038
babel-runtime,9674251
escodegen,9669867
merge-descriptors,9663745
log-symbols,9663697
source-map-url,9649801
assign-symbols,9645553
dot-prop,9645383
css-select,9638326
snapdragon-node,9628670
map-cache,9622091
meow,9604273
es6-promise,9591450
url,9591041
optionator,9590259
to-regex,9564677
prepend-http,9564074
regex-not,9561964
spdx-exceptions,9559727
forwarded,9538871
loose-envify,9534158
pseudomap,9531185
snapdragon,9523034
decode-uri-component,9501286
eventemitter3,9489647
duplexify,9485318
cache-base,9471495
array-union,9468986
base,9465622
remove-trailing-separator,9447945
optimist,9446970
class-utils,9441644
async-each,9431022
urix,9406561
neo-async,9400421
arrify,9397922
progress,9387566
resolve-url,9386972
npmlog,9386402
snapdragon-util,9374860
object.pick,9353286
nice-try,9337542
to-object-path,9335255
object-visit,9329575
collection-visit,9322973
map-visit,9322121
static-extend,9302136
map-obj,9295935
copy-descriptor,9288033
object-copy,9286842
fragment-cache,9282329
type-fest,9276021
pako,9265459
agent-base,9236287
posix-character-classes,9225056
upath,9205789
istanbul-lib-coverage,9205387
strip-indent,9205132
gauge,9204936
for-own,9183703
deep-extend,9173731
webpack,9166540
async-limiter,9163416
react-is,9162662
pinkie-promise,9158774
pinkie,9108098
array-uniq,9073355
is-promise,9036250
run-async,9035364
enhanced-resolve,9033138
is-wsl,9004151
object.getownpropertydescriptors,8989619
espree,8986354
fast-levenshtein,8972075
@babel/helpers,8965057
invariant,8955758
is-obj,8934457
node-releases,8877913
process,8858948
eslint,8844085
path-is-inside,8791471
levn,8762373
table,8757662
@babel/preset-env,8748155
deep-is,8741065
autoprefixer,8723519
object-inspect,8716930
redent,8715640
ansi-colors,8703734
wide-align,8691754
dom-serializer,8689104
camelcase-keys,8679739
@babel/plugin-proposal-object-rest-spread,8669254
type-check,8659608
ssri,8659028
minipass,8658406
caller-path,8655081
global-modules,8654078
prelude-ls,8653094
path-dirname,8647810
global-prefix,8616575
json-parse-better-errors,8605299
xmlbuilder,8596874
opn,8526088
got,8525192
rc,8511678
cli-width,8510117
regenerator-transform,8501702
istanbul-lib-instrument,8501583
p-is-promise,8491666
toidentifier,8484584
esrecurse,8479716
https-proxy-agent,8475051
tapable,8453433
querystring,8442770
is-path-cwd,8431627
mississippi,8417778
import-local,8409023
node-forge,8366849
acorn-jsx,8359747
trim-newlines,8339024
osenv,8337607
webpack-sources,8321589
promise,8319700
dir-glob,8311707
are-we-there-yet,8288871
q,8278104
typescript,8232810
deep-equal,8165028
file-entry-cache,8151085
fs-minipass,8116442
request-promise-core,8115966
terser,8103978
source-list-map,8076716
pumpify,8045642
pretty-format,8001208
serialize-javascript,7989740
delegates,7981533
elliptic,7977483
query-string,7971470
vm-browserify,7971200
util.promisify,7954904
has-unicode,7932001
lowercase-keys,7930321
stream-shift,7929959
is-path-in-cwd,7913749
write,7908187
symbol-observable,7866869
flat-cache,7827297
htmlparser2,7801635
file-type,7777677
assert,7776378
console-control-strings,7738487
timers-browserify,7726768
jsdom,7723125
regenerate,7717269
babylon,7703850
minizlib,7696231
bn.js,7696187
repeating,7695799
universalify,7657830
console-browserify,7617131
object.assign,7575541
@babel/plugin-transform-destructuring,7568700
dotenv,7567204
path-browserify,7564253
@babel/plugin-transform-classes,7542733
css-what,7533987
resolve-cwd,7510724
merge-stream,7500959
he,7499837
babel-code-frame,7493671
parse-asn1,7469532
sha.js,7421948
natural-compare,7420489
color,7410350
domhandler,7409349
@babel/helper-replace-supers,7405133
node-libs-browser,7403888
on-headers,7370333
npm-packlist,7346331
hoist-non-react-statics,7346119
@babel/plugin-transform-modules-commonjs,7345106
des.js,7330677
private,7314381
compressible,7311168
webpack-dev-middleware,7307742
commondir,7304750
crypto-browserify,7303254
regexpp,7302821
stealthy-require,7302534
hash.js,7299510
is-finite,7296962
browserify-zlib,7286996
clone-deep,7284764
lazy-cache,7258662
acorn-globals,7237718
terser-webpack-plugin,7231028
css-tree,7226270
ripemd160,7202974
hash-base,7196295
file-loader,7192733
shallow-clone,7162809
minimalistic-assert,7161793
domain-browser,7153873
errno,7153115
tty-browserify,7147897
p-defer,7141046
stream-http,7128788
stream-browserify,7124425
randombytes,7116488
browserify-aes,7116393
interpret,7113319
setimmediate,7105631
whatwg-fetch,7103143
@babel/helper-module-transforms,7093456
sockjs-client,7084063
url-parse-lax,7082454
requires-port,7079464
flush-write-stream,7073445
md5.js,7067444
asap,7066639
is-plain-obj,7063530
asn1.js,7051968
os-browserify,7044741
https-browserify,7039007
text-table,7037275
prr,7032313
sort-keys,7022637
pbkdf2,7007030
prop-types,6991046
@babel/helper-member-expression-to-functions,6984456
es6-promisify,6975178
public-encrypt,6975172
from2,6971341
@babel/helper-module-imports,6963128
create-hash,6959096
create-hmac,6954028
underscore,6953124
is-utf8,6949230
detect-indent,6944727
browserify-des,6936491
@babel/plugin-transform-block-scoping,6932477
node-pre-gyp,6920974
istanbul-lib-source-maps,6915576
ignore-walk,6898761
worker-farm,6896173
astral-regex,6892187
watchpack,6881075
create-ecdh,6880473
istanbul-reports,6876534
diffie-hellman,6868677
browserify-cipher,6868550
parallel-transform,6867369
@babel/plugin-syntax-object-rest-spread,6864388
cipher-base,6862492
xml2js,6859017
http-proxy,6839380
@babel/helper-define-map,6836658
brorand,6835381
browserify-sign,6829294
istanbul-lib-report,6828492
evp_bytestokey,6825955
browserify-rsa,6823639
cyclist,6823456
eslint-visitor-keys,6820552
@babel/plugin-transform-unicode-regex,6819769
@babel/plugin-transform-async-to-generator,6812249
unique-slug,6800590
hmac-drbg,6787542
minimalistic-crypto-utils,6782676
miller-rabin,6780477
querystring-es3,6778504
emojis-list,6769135
jest-resolve,6765555
@babel/plugin-transform-regenerator,6742139
constants-browserify,6736080
buffer-xor,6734284
is-directory,6727419
@babel/helper-hoist-variables,6724875
compression,6708116
builtin-status-codes,6698716
@babel/helper-plugin-utils,6695497
map-age-cleaner,6692610
ip,6692383
loader-runner,6686008
randomfill,6677536
cssstyle,6670042
loud-rejection,6663540
leven,6655507
url-parse,6653795
@babel/plugin-transform-dotall-regex,6653077
@babel/plugin-transform-function-name,6651058
to-arraybuffer,6634976
@babel/helper-annotate-as-pure,6628550
unique-filename,6615765
react,6608399
